Organization Name,Organization Name URL,Growth Category,Number of Employees,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Full Description,Headquarters Location,Description,CB Rank (Company),Acquired by,Acquired by URL,Acquisition Type,Acquisition Terms,Estimated Revenue Range,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Founders,Number of Founders,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Industries
Aviwell,https://www.crunchbase.com/organization/aviwell,Growing,1-10,Seed,9000000,EUR,10105581,"Aviwell’s mission is to develop healthy, native, natural, and sustainable solutions to improve animal health and growth to better nourish the planet ... At a fraction of the cost.","Toulouse, Midi-Pyrenees, France","Developing healthy, natural, sustainable solutions to improve animal growth and nourish the planet","61,604",,,,,$1M to $10M,2021-01-01,year,Active,,,,,For Profit,https://aviwell.fr/,https://www.linkedin.com/company/aviwell,"Mouli Ramani, Rémy Burcelin",2,4,13100000,EUR,14602964,"Bpifrance, European Innovation Council, Elaia, MFS Investment Management, 3CC | Third Culture Capital",3,5,"AgTech, Biotechnology, Health Care"
Routrek Networks,https://www.crunchbase.com/organization/routrek-networks,,11-50,Series C,1565800000,JPY,11191000,Routrek is a manufacturing and sales of ICT next generation hydroponic cultivation system.,"Kawasaki, Kanagawa, Japan","Routrek Networks advances IoT to support sustainable farming, tackling food issues with AI irrigation and network control.","61,608",,,,,$1M to $10M,2005-08-01,day,Active,,,,,For Profit,https://www.routrek.co.jp/,,Shinichi Sasaki,1,3,2225800000,JPY,17029920,"UTEC - The University of Tokyo Edge Capital Partners, Globis Capital Partners, JA Mitsui Leasing, Optim, A-Five",,7,"Agriculture, AgTech, Farming, Internet of Things"
Birds Eye Robotics,https://www.crunchbase.com/organization/birds-eye-robotics,Growing,1-10,Seed,447500,USD,447500,"Birds Eye Robotics develops a poultry robot that provides solutions to poultry farmers. Birds Eye's autonomous robotic solution aims to bring cutting-edge technology together with farmer intuition. Birds Eye navigates 20,000+ bird broiler houses, commercial feeders, water lines, and migration fences.","Lincoln, Nebraska, United States",Birds Eye Robotics develops a poultry robot that provides solutions to poultry farmers.,"61,635",,,,,$1M to $10M,2020-01-01,year,Active,,,,,For Profit,https://www.birdseyerobotics.com,https://www.linkedin.com/company/birds-eye-robotics,Scott Niewohner,1,7,4012500,USD,4012500,"Invest Nebraska, U.S. Department of Agriculture, Innova Memphis",3,3,"Agriculture, AgTech, Farming"
Harvy,https://www.crunchbase.com/organization/harvy,Growing,1-10,Pre-Seed,1000000,EUR,1087962,"Harvy offers a delivery management platform that helps producers and retailers reduce their logistics costs. The platform provides a simple way for them to manage their orders, deliveries, and invoices. It enables farmers to collaborate with others and share deliveries and associated costs, resulting in significant savings. With Harvy's platform, they can streamline their delivery processes, track shipments in real time, and generate invoices efficiently. The platform allows them to optimize their logistics operations, reduce expenses, and improve overall efficiency in managing their deliveries.","Villeneuve-sur-lot, Aquitaine, France",Harvy offers a delivery management platform that helps producers and retailers reduce their logistics costs.,"61,646",,,,,,2023-01-01,year,Active,,,,,For Profit,https://www.harvy.tech,https://www.linkedin.com/company/harvyapp,,,2,1150000,EUR,1250060,"Antler, Tivoli Capital, FBFC",1,3,"Agriculture, AgTech, Farming"
Saturas,https://www.crunchbase.com/organization/saturas,,11-50,Series B,3000000,USD,3000000,"Saturas is developing a miniature SWP sensor that is part of an automatic SWP sensing system. Embedded in the trunks of trees, vines, and plants, the sensor provides accurate information based on statistical analysis for optimized irrigation, reduced water consumption, and increased fruit production and quality. The Saturas precision agriculture sensing system components: miniature implanted sensors, in-orchard communications and transponders, and control unit.  Saturas’ automatic SWP sensing system collects accurate data using a minimal number of sensors per hectare, and transmits the data to a central control system connected to irrigation controllers for automated irrigation. The farmer receives information in an easy-to-read report. The Saturas technology tailors irrigation to real-time needs, resulting in more efficient water use while increasing yields, fruit size, and sugar content (e.g., vineyards).","Misgav, HaZafon, Israel",Saturas is developing a miniature SWP sensor that can be part of an automatic irrigation system.,"61,727",,,,,$1M to $10M,2013-01-01,year,Active,,,,,For Profit,http://www.saturas-ag.com/,https://www.linkedin.com/company/saturas-ltd,"Anat Halgoa Solomon, Moshe Meron",2,4,8054452,USD,8054452,"Trendlines Group, EASME - EU Executive Agency for SMEs, Gefen Capital, Miguel Torres Chile, Hubei Forbon Technology",2,11,"AgTech, Fruit, Sensor, Water"
vGreens,https://www.crunchbase.com/organization/vgreens,,11-50,Pre-Seed,1050000,EUR,1124081,"vGreens utilizes cutting-edge technology to develop fully automated, software-driven Indoor Vertical Farms for the fruit production sector. This approach facilitates year-round cultivation of fruits within urban environments, shattering the conventional limitations of seasonal farming and extensive supply chains. vGreens' technology ensures not only the consistent production of high-quality fruits but also a significant contribution to sustainability objectives. The company's technology delivers substantial environmental benefits, enabling a staggering 90% reduction in CO2 emissions compared to traditional farming practices. Simultaneously, the urban farming model employed by vGreens mitigates the logistical issues tied to lengthy supply chains. Furthermore, vGreens' vertical farms necessitate 90% less land than traditional farms and function without the need for pesticides. This ensures that the produce generated is not only more readily available to the urban populace but also healthier and safer.","Essen, Nordrhein-Westfalen, Germany",vGreens develops fully automated & software-driven Indoor Vertical Farms enabling year-round sustainable fruit production near urban centers,"61,807",,,,,$1M to $10M,2022-01-01,year,Active,,,,,For Profit,https://v-greens.com,https://www.linkedin.com/company/v-greens,"Claas Ahrens, Dr. Caspar Krampe, Dr. Maximilian Hartmann, Dr. Stefan Hey",4,1,1050000,EUR,1124081,"Business Angels Club Berlin-Brandenburg e.V., SeedCapital Dortmund, TU capital GmbH & Co.KG, Matthias Helfrich",,4,"Agriculture, AgTech, Artificial Intelligence (AI), Farming"
Albotherm,https://www.crunchbase.com/organization/albotherm,Growing,1-10,Grant,500000,GBP,627910,"Albotherm offers a smart transitioning coating technology that regulates the temperature of surfaces and structures without the need for energy input. When temperatures rise above a determined trigger temperature, our technology reversibly transitions from clear to white, reflecting away unwanted light to prevent overheating.","Bristol, Bristol, City of, United Kingdom",Albotherm offers a smart transitioning coating technology.,"61,829",,,,,$1M to $10M,2020-01-01,year,Active,,,,,For Profit,https://www.albotherm.com/,https://www.linkedin.com/company/albotherm/,"Molly Allington, Sian Fussell",2,4,2829087,USD,2829087,"Innovate UK, Sustainable Ventures, Empirical Ventures, Green Angel Ventures, Cambridge Angels group",2,9,"Agriculture, AgTech, Chemical"
Jai Kisan,https://www.crunchbase.com/organization/jai-kisan,,251-500,Venture - Series Unknown,3020000,USD,3020000,Jai Kisan is a fintech platform that provides sustainable financing for rural emerging markets. They help farmers understand their financial status through a next-generation/hyper-localized agriculture credit score digitizing their finances and farm capabilities for financial institutions.,"Mumbai, Maharashtra, India",Jai Kisan is a fintech platform that provides sustainable financing for rural emerging markets.,"61,970",,,,,$10M to $50M,2017-01-01,year,Active,,,,,For Profit,http://jai-kisan.com/,https://www.linkedin.com/company/jai-kisan/,"Adriel Maniego, Arjun Ahluwalia",2,12,102211273,USD,102211273,"Northern Arc, BlackSoil, Alteria Capital, Blume Ventures, DLabs",5,33,"Agriculture, AgTech, Financial Services, FinTech"
MantiSpectra,https://www.crunchbase.com/organization/mantispectra,Growing,11-50,Seed,4000000,EUR,4236570,"MantiSpectra has developed ChipSenseTM Spectral Sensors on a Chip, which replaces and augments traditional bulky spectrometers, enabling compact, portable, and cost-effective material analysis anywhere. MantiSpectra's cutting-edge platform enables highly accurate and rapid material composition analysis directly where it is needed by leveraging the power of artificial intelligence. This includes applications in agrifood production processes, recycling facilities to differentiate between plastics and fibers, process analytics for real-time control, and new consumer devices enhanced by real-time accurate data that transform how people interact with their surroundings.","Eindhoven, Noord-Brabant, The Netherlands",MantiSpectra mission is to make spectral analysis accessible to the general public.,"62,011",,,,,$1M to $10M,2020-01-01,year,Active,,,,,For Profit,https://www.mantispectra.com,https://www.linkedin.com/company/mantispectra,,,1,4000000,EUR,4236570,"Innovation Industries, PhotonVentures",2,2,"AgTech, Artificial Intelligence (AI), Manufacturing"
Eruvaka Technologies,https://www.crunchbase.com/organization/eruvaka-technologies,Growing,51-100,Series B,5750000,USD,5750000,"Eruvaka Technologies develops on-farm diagnostic equipment for aquaculture farmers to reduce their risk and increase productivity. They integrate sensors, mobile connectivity and decision tools for affordable aquaculture monitoring and automation. Their mission is to accelerate the use of technology in aquaculture. It helps farmers to monitor their ponds in a better way and reduce their investments to make it sustainable.","Vijayawada, Andhra Pradesh, India",Eruvaka Technologies manufactures on-farm diagnostic equipment for aquaculture farmers to reduce their risk and increase productivity.,"62,034",Nutreco,https://www.crunchbase.com/organization/nutreco,Acquisition,,,2012-01-01,year,Active,2022-08-01,day,,,For Profit,http://www.eruvaka.com,https://www.linkedin.com/company/eruvaka-technologies/,Sreeram Raavi,1,4,7040000,USD,7040000,"Omnivore, Nutreco",2,2,"Agriculture, AgTech, Information Technology"
Beekeeper Tech,https://www.crunchbase.com/organization/iris-tech,Growing,1-10,Seed,640000,USD,640000,Beekeeper Tech develops SmartBee Devices for beekeepers that helps in monitoring of hive productivity and hive health.,"Tunis, Tunis, Tunisia",Beekeeper Tech develops SmartBee Devices for beekeepers that helps in monitoring of hive productivity and hive health.,"62,059",,,,,Less than $1M,2016-01-01,year,Active,,,,,For Profit,https://www.smartbeekeeper.com,https://www.linkedin.com/company/beekeeper-tech/,Khaled Bouchoucha,1,4,1073000,USD,1073000,"Brinc, Oqal, 216 Capital, Taqadam, Bridging Angels",1,8,AgTech
TRIC Robotics,https://www.crunchbase.com/organization/tric-robotics,Growing,1-10,Non-equity Assistance,,,,"TRIC Robotics develops an autonomous, non-chemical pesticide alternative for strawberry farms. The company was founded in 2017 and is headquartered in Newark, DE.","Newark, Delaware, United States","TRIC Robotics develops an autonomous, non-chemical pesticide alternative for strawberry farms.","62,093",,,,,Less than $1M,2017-01-01,year,Active,,,,,For Profit,http://www.tricrobotics.com,https://www.linkedin.com/company/tric-robotics,Adam Stager,1,2,256000,USD,256000,"National Science Foundation, SVG Ventures",2,2,"Agriculture, AgTech, Information Technology"
CHONEX,https://www.crunchbase.com/organization/chonex,,1-10,Seed,5780000,USD,5780000,"CHONEX is a nutrient recycling company that converts poultry manure, a low-value fertilizer product, into 3 high-value commodity products- Protein, Lauric Acid, and Fertilizer. It was founded in 2018 and is headquartered in Florence, Alabama.","Florence, Alabama, United States","CHONEX is a nutrient recycling company that converts poultry manure, a low value fertilizer product.","62,151",,,,,$1M to $10M,2018-01-01,year,Active,,,,,For Profit,http://chonex.ag,https://www.linkedin.com/company/chonex/,"Harley Martin, Michael Lynch",2,4,6625000,USD,6625000,"Southern Research, Jemison Investment Company, Alabama Launchpad",2,3,"Agriculture, AgTech, Farming"
